file,label,cluster2,cluster3,cluster4,cluster8,cluster10,cluster20,cluster30,cluster50,cluster100
left10010_top11748.jpg,0,0,0,0,0,4,18,19,1,91
left10010_top53538.jpg,0,0,0,0,0,4,16,13,49,38
left10010_top88912.jpg,0,0,0,0,0,8,7,28,11,57
left10018_top109278.jpg,0,1,2,1,2,6,9,2,32,12
left10018_top3058.jpg,0,1,0,0,0,4,5,29,9,8
left10026_top190714.jpg,0,0,1,3,1,0,6,25,22,37
left10046_top33306.jpg,0,1,2,0,0,9,5,18,9,36
left10054_top16532.jpg,0,0,0,3,7,3,10,0,12,52
left10054_top54096.jpg,0,0,1,2,4,8,15,6,2,4
left10072_top128500.jpg,0,0,0,3,6,5,12,12,10,97
left10074_top37416.jpg,0,0,0,0,0,4,7,28,11,57
left10082_top124822.jpg,0,0,1,2,7,9,5,20,24,9
left10094_top113102.jpg,0,0,1,2,1,0,6,25,28,83
left10098_top17756.jpg,0,0,0,0,0,4,7,28,11,57
left10098_top51972.jpg,0,0,0,0,0,4,14,0,27,94
left10114_top13512.jpg,0,0,0,3,6,5,18,0,17,7
left10122_top76150.jpg,0,1,2,1,5,1,5,29,5,6
left10130_top33030.jpg,0,0,0,0,0,4,18,19,39,42
left10150_top10784.jpg,0,0,0,0,0,4,16,13,41,47
left10154_top88184.jpg,0,0,0,0,0,4,19,18,21,36
left10162_top17232.jpg,0,1,2,1,5,1,4,4,46,29
left10162_top29480.jpg,0,0,0,3,6,5,18,0,17,30
left10164_top183312.jpg,0,0,0,3,1,6,1,25,22,47
left10174_top18694.jpg,0,0,0,0,0,4,5,20,24,9
left10184_top18288.jpg,0,0,0,0,4,8,10,10,8,94
left10186_top40548.jpg,0,0,0,3,6,5,12,12,26,11
left10186_top7272.jpg,0,0,0,0,0,4,14,24,41,94
left10190_top63570.jpg,0,1,0,0,4,8,7,17,39,1
left10198_top4598.jpg,0,0,0,3,1,0,1,17,47,17
left10202_top141962.jpg,0,1,2,1,2,2,7,1,42,44
left10204_top3390.jpg,0,1,2,0,5,1,8,29,3,26
left10206_top64962.jpg,0,1,2,1,5,1,8,1,46,26
left10206_top83404.jpg,0,1,0,0,0,4,19,18,21,49
left10210_top53568.jpg,0,0,0,3,6,5,18,17,47,70
left10214_top41198.jpg,0,0,0,0,0,4,16,18,9,60
left10214_top55244.jpg,0,0,0,0,0,4,18,17,15,3
left10214_top82396.jpg,0,0,0,0,0,4,16,18,49,51
left10226_top72502.jpg,0,0,0,0,0,4,14,24,15,87
left10232_top89366.jpg,0,0,0,0,0,4,14,24,15,3
left10234_top38426.jpg,0,1,0,0,0,4,16,18,9,36
left10236_top12538.jpg,0,1,2,1,4,8,7,28,11,98
left10238_top24476.jpg,0,0,0,0,0,4,14,24,27,94
left10242_top37530.jpg,0,0,0,0,0,8,19,18,21,49
left10246_top6014.jpg,0,0,0,0,0,4,19,18,21,49
left10246_top89708.jpg,0,0,0,0,0,8,18,17,39,82
left10250_top30352.jpg,0,0,0,0,0,4,14,24,15,50
left10254_top41720.jpg,0,0,0,0,0,4,14,24,27,41
left10258_top65300.jpg,0,0,0,0,0,8,19,13,36,33
